Delay Time,Gate Time,Coincidence Counts
30000000,5000,0
30000000,10000,1
30000000,15000,1
30000000,20000,1
30000000,25000,1
30000000,30000,1
30000000,35000,1
30000000,40000,1
30100000,5000,0
30100000,10000,0
30100000,15000,0
30100000,20000,0
30100000,25000,1
30100000,30000,1
30100000,35000,1
30100000,40000,1
30200000,5000,0
30200000,10000,1
30200000,15000,2
30200000,20000,3
30200000,25000,3
30200000,30000,3
30200000,35000,3
30200000,40000,3
30300000,5000,0
30300000,10000,0
30300000,15000,0
30300000,20000,1
30300000,25000,1
30300000,30000,2
30300000,35000,2
30300000,40000,2
30400000,5000,0
30400000,10000,1
30400000,15000,1
30400000,20000,1
30400000,25000,1
30400000,30000,1
30400000,35000,2
30400000,40000,2
30500000,5000,0
30500000,10000,0
30500000,15000,0
30500000,20000,0
30500000,25000,0
30500000,30000,0
30500000,35000,0
30500000,40000,0
30600000,5000,0
30600000,10000,0
30600000,15000,0
30600000,20000,1
30600000,25000,1
30600000,30000,1
30600000,35000,1
30600000,40000,1
30700000,5000,0
30700000,10000,0
30700000,15000,0
30700000,20000,0
30700000,25000,0
30700000,30000,0
30700000,35000,0
30700000,40000,0
30800000,5000,3
30800000,10000,3
30800000,15000,3
30800000,20000,4
30800000,25000,4
30800000,30000,4
30800000,35000,4
30800000,40000,4
30900000,5000,1
30900000,10000,1
30900000,15000,1
30900000,20000,1
30900000,25000,1
30900000,30000,1
30900000,35000,1
30900000,40000,1
31000000,5000,0
31000000,10000,0
